BetterThanMed,WorseThanMed,Percentage,ProbOfMiss
5514,5161,51.65% - 48.35%,30.16
5515,5160,51.66% - 48.34%,30.15
5516,5159,51.67% - 48.33%,30.14
5517,5158,51.68% - 48.32%,30.14
5518,5157,51.69% - 48.31%,30.13
5519,5156,51.7% - 48.3%,30.12
5520,5155,51.71% - 48.29%,30.12
5521,5154,51.72% - 48.28%,30.11
5522,5153,51.73% - 48.27%,30.1
5523,5152,51.74% - 48.26%,30.1
5524,5151,51.75% - 48.25%,30.09
5525,5150,51.76% - 48.24%,30.08
5526,5149,51.77% - 48.23%,30.08
5527,5148,51.78% - 48.22%,30.07
5528,5147,51.78% - 48.22%,30.06
5529,5146,51.79% - 48.21%,30.06
5530,5145,51.8% - 48.2%,30.05
5531,5144,51.81% - 48.19%,30.04
5532,5143,51.82% - 48.18%,30.04
5533,5142,51.83% - 48.17%,30.03
5534,5141,51.84% - 48.16%,30.02
5535,5140,51.85% - 48.15%,30.02
5536,5139,51.86% - 48.14%,30.01
5537,5138,51.87% - 48.13%,30.0
5538,5137,51.88% - 48.12%,30.0
5539,5136,51.89% - 48.11%,29.99
5540,5135,51.9% - 48.1%,29.98
5541,5134,51.91% - 48.09%,29.98
5542,5133,51.92% - 48.08%,29.97
5543,5132,51.93% - 48.07%,29.96
5544,5131,51.93% - 48.07%,29.96
5545,5130,51.94% - 48.06%,29.95
5546,5129,51.95% - 48.05%,29.94
5547,5128,51.96% - 48.04%,29.94
5548,5127,51.97% - 48.03%,29.93
5549,5126,51.98% - 48.02%,29.92
5550,5125,51.99% - 48.01%,29.92
5551,5124,52.0% - 48.0%,29.91
5552,5123,52.01% - 47.99%,29.9
5553,5122,52.02% - 47.98%,29.9
5554,5121,52.03% - 47.97%,29.89
5555,5120,52.04% - 47.96%,29.88
5556,5119,52.05% - 47.95%,29.88
5557,5118,52.06% - 47.94%,29.87
5558,5117,52.07% - 47.93%,29.86
5559,5116,52.07% - 47.93%,29.86
5560,5115,52.08% - 47.92%,29.85
5561,5114,52.09% - 47.91%,29.84
5562,5113,52.1% - 47.9%,29.83
5563,5112,52.11% - 47.89%,29.83
5564,5111,52.12% - 47.88%,29.82
5565,5110,52.13% - 47.87%,29.81
5566,5109,52.14% - 47.86%,29.81
5567,5108,52.15% - 47.85%,29.8
5568,5107,52.16% - 47.84%,29.79
5569,5106,52.17% - 47.83%,29.79
5570,5105,52.18% - 47.82%,29.78
5571,5104,52.19% - 47.81%,29.77
5572,5103,52.2% - 47.8%,29.77
5573,5102,52.21% - 47.79%,29.76
5574,5101,52.22% - 47.78%,29.75
5575,5100,52.22% - 47.78%,29.75
5576,5099,52.23% - 47.77%,29.74
5577,5098,52.24% - 47.76%,29.73
5578,5097,52.25% - 47.75%,29.73
5579,5096,52.26% - 47.74%,29.72
5580,5095,52.27% - 47.73%,29.71
5581,5094,52.28% - 47.72%,29.71
5582,5093,52.29% - 47.71%,29.7
5583,5092,52.3% - 47.7%,29.69
5584,5091,52.31% - 47.69%,29.68
5585,5090,52.32% - 47.68%,29.68
5586,5089,52.33% - 47.67%,29.67
5587,5088,52.34% - 47.66%,29.66
5588,5087,52.35% - 47.65%,29.66
5589,5086,52.36% - 47.64%,29.65
5590,5085,52.37% - 47.63%,29.64
5591,5084,52.37% - 47.63%,29.64
5592,5083,52.38% - 47.62%,29.63
5593,5082,52.39% - 47.61%,29.62
5594,5081,52.4% - 47.6%,29.62
5595,5080,52.41% - 47.59%,29.61
5596,5079,52.42% - 47.58%,29.6
5597,5078,52.43% - 47.57%,29.6
5598,5077,52.44% - 47.56%,29.59
5599,5076,52.45% - 47.55%,29.58
5600,5075,52.46% - 47.54%,29.57
5601,5074,52.47% - 47.53%,29.57
5602,5073,52.48% - 47.52%,29.56
5603,5072,52.49% - 47.51%,29.55
5604,5071,52.5% - 47.5%,29.55
5605,5070,52.51% - 47.49%,29.54
5606,5069,52.52% - 47.48%,29.53
5607,5068,52.52% - 47.48%,29.53
5608,5067,52.53% - 47.47%,29.52
5609,5066,52.54% - 47.46%,29.51
5610,5065,52.55% - 47.45%,29.51
5611,5064,52.56% - 47.44%,29.5
5612,5063,52.57% - 47.43%,29.49
5613,5062,52.58% - 47.42%,29.48
5614,5061,52.59% - 47.41%,29.48
5615,5060,52.6% - 47.4%,29.47
5616,5059,52.61% - 47.39%,29.46
5617,5058,52.62% - 47.38%,29.46
5618,5057,52.63% - 47.37%,29.45
5619,5056,52.64% - 47.36%,29.44
5620,5055,52.65% - 47.35%,29.44
5621,5054,52.66% - 47.34%,29.43
5622,5053,52.67% - 47.33%,29.42
5623,5052,52.67% - 47.33%,29.41
5624,5051,52.68% - 47.32%,29.41
5625,5050,52.69% - 47.31%,29.4
5626,5049,52.7% - 47.3%,29.39
5627,5048,52.71% - 47.29%,29.39
5628,5047,52.72% - 47.28%,29.38
5629,5046,52.73% - 47.27%,29.37
5630,5045,52.74% - 47.26%,29.37
5631,5044,52.75% - 47.25%,29.36
5632,5043,52.76% - 47.24%,29.35
5633,5042,52.77% - 47.23%,29.34
5634,5041,52.78% - 47.22%,29.34
5635,5040,52.79% - 47.21%,29.33
5636,5039,52.8% - 47.2%,29.32
5637,5038,52.81% - 47.19%,29.32
5638,5037,52.81% - 47.19%,29.31
5639,5036,52.82% - 47.18%,29.3
5640,5035,52.83% - 47.17%,29.29
5641,5034,52.84% - 47.16%,29.29
5642,5033,52.85% - 47.15%,29.28
5643,5032,52.86% - 47.14%,29.27
5644,5031,52.87% - 47.13%,29.27
5645,5030,52.88% - 47.12%,29.26
5646,5029,52.89% - 47.11%,29.25
5647,5028,52.9% - 47.1%,29.25
5648,5027,52.91% - 47.09%,29.24
5649,5026,52.92% - 47.08%,29.23
5650,5025,52.93% - 47.07%,29.22
5651,5024,52.94% - 47.06%,29.22
5652,5023,52.95% - 47.05%,29.21
5653,5022,52.96% - 47.04%,29.2
5654,5021,52.96% - 47.04%,29.2
5655,5020,52.97% - 47.03%,29.19
5656,5019,52.98% - 47.02%,29.18
5657,5018,52.99% - 47.01%,29.17
5658,5017,53.0% - 47.0%,29.17
5659,5016,53.01% - 46.99%,29.16
5660,5015,53.02% - 46.98%,29.15
5661,5014,53.03% - 46.97%,29.15
5662,5013,53.04% - 46.96%,29.14
5663,5012,53.05% - 46.95%,29.13
5664,5011,53.06% - 46.94%,29.12
5665,5010,53.07% - 46.93%,29.12
5666,5009,53.08% - 46.92%,29.11
5667,5008,53.09% - 46.91%,29.1
5668,5007,53.1% - 46.9%,29.1
5669,5006,53.11% - 46.89%,29.09
5670,5005,53.11% - 46.89%,29.08
5671,5004,53.12% - 46.88%,29.07
5672,5003,53.13% - 46.87%,29.07
5673,5002,53.14% - 46.86%,29.06
5674,5001,53.15% - 46.85%,29.05
5675,5000,53.16% - 46.84%,29.05
5676,4999,53.17% - 46.83%,29.04
5677,4998,53.18% - 46.82%,29.03
5678,4997,53.19% - 46.81%,29.02
5679,4996,53.2% - 46.8%,29.02
5680,4995,53.21% - 46.79%,29.01
5681,4994,53.22% - 46.78%,29.0
5682,4993,53.23% - 46.77%,28.99
5683,4992,53.24% - 46.76%,28.99
5684,4991,53.25% - 46.75%,28.98
5685,4990,53.26% - 46.74%,28.97
5686,4989,53.26% - 46.74%,28.97
5687,4988,53.27% - 46.73%,28.96
5688,4987,53.28% - 46.72%,28.95
5689,4986,53.29% - 46.71%,28.94
5690,4985,53.3% - 46.7%,28.94
5691,4984,53.31% - 46.69%,28.93
5692,4983,53.32% - 46.68%,28.92
5693,4982,53.33% - 46.67%,28.91
5694,4981,53.34% - 46.66%,28.91
5695,4980,53.35% - 46.65%,28.9
5696,4979,53.36% - 46.64%,28.89
5697,4978,53.37% - 46.63%,28.89
5698,4977,53.38% - 46.62%,28.88
5699,4976,53.39% - 46.61%,28.87
5700,4975,53.4% - 46.6%,28.86
5701,4974,53.41% - 46.59%,28.86
5702,4973,53.41% - 46.59%,28.85
5703,4972,53.42% - 46.58%,28.84
5704,4971,53.43% - 46.57%,28.83
5705,4970,53.44% - 46.56%,28.83
5706,4969,53.45% - 46.55%,28.82
5707,4968,53.46% - 46.54%,28.81
5708,4967,53.47% - 46.53%,28.81
5709,4966,53.48% - 46.52%,28.8
5710,4965,53.49% - 46.51%,28.79
5711,4964,53.5% - 46.5%,28.78
5712,4963,53.51% - 46.49%,28.78
5713,4962,53.52% - 46.48%,28.77
5714,4961,53.53% - 46.47%,28.76
5715,4960,53.54% - 46.46%,28.75
5716,4959,53.55% - 46.45%,28.75
5717,4958,53.56% - 46.44%,28.74
5718,4957,53.56% - 46.44%,28.73
5719,4956,53.57% - 46.43%,28.73
5720,4955,53.58% - 46.42%,28.72
5721,4954,53.59% - 46.41%,28.71
5722,4953,53.6% - 46.4%,28.7
5723,4952,53.61% - 46.39%,28.7
5724,4951,53.62% - 46.38%,28.69
5725,4950,53.63% - 46.37%,28.68
5726,4949,53.64% - 46.36%,28.67
5727,4948,53.65% - 46.35%,28.67
5728,4947,53.66% - 46.34%,28.66
5729,4946,53.67% - 46.33%,28.65
5730,4945,53.68% - 46.32%,28.64
5731,4944,53.69% - 46.31%,28.64
5732,4943,53.7% - 46.3%,28.63
5733,4942,53.7% - 46.3%,28.62
5734,4941,53.71% - 46.29%,28.61
5735,4940,53.72% - 46.28%,28.61
5736,4939,53.73% - 46.27%,28.6
5737,4938,53.74% - 46.26%,28.59
5738,4937,53.75% - 46.25%,28.59
5739,4936,53.76% - 46.24%,28.58
5740,4935,53.77% - 46.23%,28.57
5741,4934,53.78% - 46.22%,28.56
5742,4933,53.79% - 46.21%,28.56
5743,4932,53.8% - 46.2%,28.55
5744,4931,53.81% - 46.19%,28.54
5745,4930,53.82% - 46.18%,28.53
5746,4929,53.83% - 46.17%,28.53
5747,4928,53.84% - 46.16%,28.52
5748,4927,53.85% - 46.15%,28.51
5749,4926,53.85% - 46.15%,28.5
5750,4925,53.86% - 46.14%,28.5
5751,4924,53.87% - 46.13%,28.49
5752,4923,53.88% - 46.12%,28.48
5753,4922,53.89% - 46.11%,28.47
5754,4921,53.9% - 46.1%,28.47
5755,4920,53.91% - 46.09%,28.46
5756,4919,53.92% - 46.08%,28.45
5757,4918,53.93% - 46.07%,28.44
5758,4917,53.94% - 46.06%,28.44
5759,4916,53.95% - 46.05%,28.43
5760,4915,53.96% - 46.04%,28.42
5761,4914,53.97% - 46.03%,28.41
5762,4913,53.98% - 46.02%,28.41
5763,4912,53.99% - 46.01%,28.4
5764,4911,54.0% - 46.0%,28.39
5765,4910,54.0% - 46.0%,28.38
5766,4909,54.01% - 45.99%,28.38
5767,4908,54.02% - 45.98%,28.37
5768,4907,54.03% - 45.97%,28.36
5769,4906,54.04% - 45.96%,28.35
5770,4905,54.05% - 45.95%,28.35
5771,4904,54.06% - 45.94%,28.34
5772,4903,54.07% - 45.93%,28.33
5773,4902,54.08% - 45.92%,28.32
5774,4901,54.09% - 45.91%,28.32
5775,4900,54.1% - 45.9%,28.31
5776,4899,54.11% - 45.89%,28.3
5777,4898,54.12% - 45.88%,28.29
5778,4897,54.13% - 45.87%,28.29
5779,4896,54.14% - 45.86%,28.28
5780,4895,54.15% - 45.85%,28.27
5781,4894,54.15% - 45.85%,28.26
5782,4893,54.16% - 45.84%,28.26
5783,4892,54.17% - 45.83%,28.25
5784,4891,54.18% - 45.82%,28.24
5785,4890,54.19% - 45.81%,28.23
5786,4889,54.2% - 45.8%,28.23
5787,4888,54.21% - 45.79%,28.22
5788,4887,54.22% - 45.78%,28.21
5789,4886,54.23% - 45.77%,28.2
5790,4885,54.24% - 45.76%,28.2
5791,4884,54.25% - 45.75%,28.19
5792,4883,54.26% - 45.74%,28.18
5793,4882,54.27% - 45.73%,28.17
5794,4881,54.28% - 45.72%,28.16
5795,4880,54.29% - 45.71%,28.16
5796,4879,54.3% - 45.7%,28.15
5797,4878,54.3% - 45.7%,28.14
5798,4877,54.31% - 45.69%,28.13
5799,4876,54.32% - 45.68%,28.13
5800,4875,54.33% - 45.67%,28.12
5801,4874,54.34% - 45.66%,28.11
5802,4873,54.35% - 45.65%,28.1
5803,4872,54.36% - 45.64%,28.1
5804,4871,54.37% - 45.63%,28.09
5805,4870,54.38% - 45.62%,28.08
5806,4869,54.39% - 45.61%,28.07
5807,4868,54.4% - 45.6%,28.07
5808,4867,54.41% - 45.59%,28.06
5809,4866,54.42% - 45.58%,28.05
5810,4865,54.43% - 45.57%,28.04
5811,4864,54.44% - 45.56%,28.04
5812,4863,54.44% - 45.56%,28.03
5813,4862,54.45% - 45.55%,28.02
5814,4861,54.46% - 45.54%,28.01
5815,4860,54.47% - 45.53%,28.0
5816,4859,54.48% - 45.52%,28.0
5817,4858,54.49% - 45.51%,27.99
5818,4857,54.5% - 45.5%,27.98
5819,4856,54.51% - 45.49%,27.97
5820,4855,54.52% - 45.48%,27.97
5821,4854,54.53% - 45.47%,27.96
5822,4853,54.54% - 45.46%,27.95
5823,4852,54.55% - 45.45%,27.94
5824,4851,54.56% - 45.44%,27.94
5825,4850,54.57% - 45.43%,27.93
5826,4849,54.58% - 45.42%,27.92
5827,4848,54.59% - 45.41%,27.91
5828,4847,54.59% - 45.41%,27.91
5829,4846,54.6% - 45.4%,27.9
5830,4845,54.61% - 45.39%,27.89
5831,4844,54.62% - 45.38%,27.88
5832,4843,54.63% - 45.37%,27.87
5833,4842,54.64% - 45.36%,27.87
5834,4841,54.65% - 45.35%,27.86
5835,4840,54.66% - 45.34%,27.85
5836,4839,54.67% - 45.33%,27.84
5837,4838,54.68% - 45.32%,27.84
5838,4837,54.69% - 45.31%,27.83
5839,4836,54.7% - 45.3%,27.82
5840,4835,54.71% - 45.29%,27.81
5841,4834,54.72% - 45.28%,27.8
5842,4833,54.73% - 45.27%,27.8
5843,4832,54.74% - 45.26%,27.79
5844,4831,54.74% - 45.26%,27.78
5845,4830,54.75% - 45.25%,27.77
5846,4829,54.76% - 45.24%,27.77
5847,4828,54.77% - 45.23%,27.76
5848,4827,54.78% - 45.22%,27.75
5849,4826,54.79% - 45.21%,27.74
5850,4825,54.8% - 45.2%,27.73
5851,4824,54.81% - 45.19%,27.73
5852,4823,54.82% - 45.18%,27.72
5853,4822,54.83% - 45.17%,27.71
5854,4821,54.84% - 45.16%,27.7
5855,4820,54.85% - 45.15%,27.7
5856,4819,54.86% - 45.14%,27.69
5857,4818,54.87% - 45.13%,27.68
5858,4817,54.88% - 45.12%,27.67
5859,4816,54.89% - 45.11%,27.66
5860,4815,54.89% - 45.11%,27.66
5861,4814,54.9% - 45.1%,27.65
5862,4813,54.91% - 45.09%,27.64
5863,4812,54.92% - 45.08%,27.63
5864,4811,54.93% - 45.07%,27.63
5865,4810,54.94% - 45.06%,27.62
5866,4809,54.95% - 45.05%,27.61
5867,4808,54.96% - 45.04%,27.6
5868,4807,54.97% - 45.03%,27.59
5869,4806,54.98% - 45.02%,27.59
5870,4805,54.99% - 45.01%,27.58
5871,4804,55.0% - 45.0%,27.57
5872,4803,55.01% - 44.99%,27.56
5873,4802,55.02% - 44.98%,27.56
5874,4801,55.03% - 44.97%,27.55
5875,4800,55.04% - 44.96%,27.54
5876,4799,55.04% - 44.96%,27.53
5877,4798,55.05% - 44.95%,27.52
5878,4797,55.06% - 44.94%,27.52
5879,4796,55.07% - 44.93%,27.51
5880,4795,55.08% - 44.92%,27.5
5881,4794,55.09% - 44.91%,27.49
5882,4793,55.1% - 44.9%,27.48
5883,4792,55.11% - 44.89%,27.48
5884,4791,55.12% - 44.88%,27.47
5885,4790,55.13% - 44.87%,27.46
5886,4789,55.14% - 44.86%,27.45
5887,4788,55.15% - 44.85%,27.45
5888,4787,55.16% - 44.84%,27.44
5889,4786,55.17% - 44.83%,27.43
5890,4785,55.18% - 44.82%,27.42
5891,4784,55.19% - 44.81%,27.41
5892,4783,55.19% - 44.81%,27.41
5893,4782,55.2% - 44.8%,27.4
5894,4781,55.21% - 44.79%,27.39
5895,4780,55.22% - 44.78%,27.38
5896,4779,55.23% - 44.77%,27.37
5897,4778,55.24% - 44.76%,27.37
5898,4777,55.25% - 44.75%,27.36
5899,4776,55.26% - 44.74%,27.35
5900,4775,55.27% - 44.73%,27.34
5901,4774,55.28% - 44.72%,27.34
5902,4773,55.29% - 44.71%,27.33
5903,4772,55.3% - 44.7%,27.32
5904,4771,55.31% - 44.69%,27.31
5905,4770,55.32% - 44.68%,27.3
5906,4769,55.33% - 44.67%,27.3
5907,4768,55.33% - 44.67%,27.29
5908,4767,55.34% - 44.66%,27.28
5909,4766,55.35% - 44.65%,27.27
5910,4765,55.36% - 44.64%,27.26
5911,4764,55.37% - 44.63%,27.26
5912,4763,55.38% - 44.62%,27.25
5913,4762,55.39% - 44.61%,27.24
5914,4761,55.4% - 44.6%,27.23
5915,4760,55.41% - 44.59%,27.22
5916,4759,55.42% - 44.58%,27.22
5917,4758,55.43% - 44.57%,27.21
5918,4757,55.44% - 44.56%,27.2
5919,4756,55.45% - 44.55%,27.19
5920,4755,55.46% - 44.54%,27.18
5921,4754,55.47% - 44.53%,27.18
5922,4753,55.48% - 44.52%,27.17
5923,4752,55.48% - 44.52%,27.16
5924,4751,55.49% - 44.51%,27.15
5925,4750,55.5% - 44.5%,27.14
5926,4749,55.51% - 44.49%,27.14
5927,4748,55.52% - 44.48%,27.13
5928,4747,55.53% - 44.47%,27.12
5929,4746,55.54% - 44.46%,27.11
5930,4745,55.55% - 44.45%,27.1
5931,4744,55.56% - 44.44%,27.1
5932,4743,55.57% - 44.43%,27.09
5933,4742,55.58% - 44.42%,27.08
5934,4741,55.59% - 44.41%,27.07
5935,4740,55.6% - 44.4%,27.06
5936,4739,55.61% - 44.39%,27.06
5937,4738,55.62% - 44.38%,27.05
5938,4737,55.63% - 44.37%,27.04
5939,4736,55.63% - 44.37%,27.03
5940,4735,55.64% - 44.36%,27.02
5941,4734,55.65% - 44.35%,27.02
5942,4733,55.66% - 44.34%,27.01
5943,4732,55.67% - 44.33%,27.0
5944,4731,55.68% - 44.32%,26.99
5945,4730,55.69% - 44.31%,26.98
5946,4729,55.7% - 44.3%,26.98
5947,4728,55.71% - 44.29%,26.97
5948,4727,55.72% - 44.28%,26.96
5949,4726,55.73% - 44.27%,26.95
5950,4725,55.74% - 44.26%,26.94
5951,4724,55.75% - 44.25%,26.94
5952,4723,55.76% - 44.24%,26.93
5953,4722,55.77% - 44.23%,26.92
5954,4721,55.78% - 44.22%,26.91
5955,4720,55.78% - 44.22%,26.9
5956,4719,55.79% - 44.21%,26.9
5957,4718,55.8% - 44.2%,26.89
5958,4717,55.81% - 44.19%,26.88
5959,4716,55.82% - 44.18%,26.87
5960,4715,55.83% - 44.17%,26.86
5961,4714,55.84% - 44.16%,26.85
5962,4713,55.85% - 44.15%,26.85
5963,4712,55.86% - 44.14%,26.84
5964,4711,55.87% - 44.13%,26.83
5965,4710,55.88% - 44.12%,26.82
5966,4709,55.89% - 44.11%,26.81
5967,4708,55.9% - 44.1%,26.81
5968,4707,55.91% - 44.09%,26.8
5969,4706,55.92% - 44.08%,26.79
5970,4705,55.93% - 44.07%,26.78
5971,4704,55.93% - 44.07%,26.77
5972,4703,55.94% - 44.06%,26.77
5973,4702,55.95% - 44.05%,26.76
5974,4701,55.96% - 44.04%,26.75
5975,4700,55.97% - 44.03%,26.74
5976,4699,55.98% - 44.02%,26.73
5977,4698,55.99% - 44.01%,26.73
5978,4697,56.0% - 44.0%,26.72
5979,4696,56.01% - 43.99%,26.71
5980,4695,56.02% - 43.98%,26.7
5981,4694,56.03% - 43.97%,26.69
5982,4693,56.04% - 43.96%,26.68
5983,4692,56.05% - 43.95%,26.68
5984,4691,56.06% - 43.94%,26.67
5985,4690,56.07% - 43.93%,26.66
5986,4689,56.07% - 43.93%,26.65
5987,4688,56.08% - 43.92%,26.64
5988,4687,56.09% - 43.91%,26.64
5989,4686,56.1% - 43.9%,26.63
5990,4685,56.11% - 43.89%,26.62
5991,4684,56.12% - 43.88%,26.61
5992,4683,56.13% - 43.87%,26.6
5993,4682,56.14% - 43.86%,26.59
5994,4681,56.15% - 43.85%,26.59
5995,4680,56.16% - 43.84%,26.58
5996,4679,56.17% - 43.83%,26.57
5997,4678,56.18% - 43.82%,26.56
5998,4677,56.19% - 43.81%,26.55
5999,4676,56.2% - 43.8%,26.55
6000,4675,56.21% - 43.79%,26.54
